product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,user_id,user_name,review_id,review_content,img_link,product_link
B01GGKZ0V6,AmazonBasics USB Typ,Computers&Accessories,$329,$845,61%,4.2,"29,746",Connect Usb Type-C E,AEITVIFC7W,"harpreet,Y",R37S13YALM,"Not too good not too bad,If you have the trust of ",https://m.media-amazon.com/images/W/WEBP_402378-T2,https://www.amazon.in/AmazonBasics-USB-Type-C-2-0-
B09F9YQQ7B,Redmi 80 cm (32 inch,Electronics|HomeTheat,"$13,999","$24,999",44%,4.2,"45,238",Resolution: HD Ready,AG6WSLLXZY,"prateeq,Su",R3CR9H6ABJ,Worth the price. I use the local cable providers s,https://m.media-amazon.com/images/W/WEBP_402378-T2,https://www.amazon.in/Redmi-inches-Ready-L32M6-RA-
B014I8SX4Y,Amazon Basics High-S,Electronics|HomeTheat,$309,"$1,400",78%,4.4,"4,26,973",HDMI A Male to A Mal,AEYJ5I6JZZ,Rishav Gos,R1FKOKZ3HH,I am using it for 14 days now. The experience is p,https://m.media-amazon.com/images/I/41eJqkFjCRL._S,https://www.amazon.in/AmazonBasics-High-Speed-Cabl
B09Q8HMKZX,Portronics Konnect L,Computers&Accessories,$263,$699,62%,4.1,450,[1.2 M LONG DURABLE ,AF6SKHWKK5,"Thenmozhi,",R1LG3XV2XY,Good braided cable. Long length. Quick charge. I m,https://m.media-amazon.com/images/I/41x3iKbD-+L._S,https://www.amazon.in/Portronics-Konnect-Charge-Ch
B0B9XN9S3W,Acer 80 cm (32 inche,Electronics|HomeTheat,"$7,999","$14,990",47%,4.3,457,Resolution: HD Ready,AFXQSBDW62,ARUN KUMAR,R3FTW5HNPC,Regarding rate I liked very much and reasonable.  ,https://m.media-amazon.com/images/I/51FicDnawaL._S,https://www.amazon.in/Acer-inches-Ready-AR32NSV53H
B07966M8XH,Model-P4 6 Way Swive,Electronics|HomeTheat,"$1,599","$2,999",47%,4.2,"2,727",Full motion cantilev,AGZU6C2XL3,Prashant P,R9GNL4OF49,"Its a good product.  Used for 42 inch TV, had to g",https://m.media-amazon.com/images/I/41+mgWz7knL._S,https://www.amazon.in/Model-P4-Swivel-32-55-inch-M
B01GGKYKQM,Amazon Basics USB Ty,Computers&Accessories,$219,$700,69%,4.3,"20,053",Connect USB Type-C e,AHVZCQP5SY,"Hremant,An",R1BC08IFG4,Previously bought amazon basic USB type A cable an,https://m.media-amazon.com/images/W/WEBP_402378-T1,https://www.amazon.in/AmazonBasics-Type-C-USB-Male
B0B86CDHL1,oraimo 65W Type C to,Computers&Accessories,$349,$899,61%,4.5,149,🥇【Kindly NOTE b,AEOIHOJD3O,Ravi Shank,RDFETF8YFD,It worked well for some days later it is not worki,https://m.media-amazon.com/images/I/41gztmbiIgL._S,https://www.amazon.in/oraimo-Charging-Syncing-Indi
B0B5ZF3NRK,CEDO 65W OnePlus Das,Computers&Accessories,$349,$599,42%,4.1,210,FAST AND STABLE CHAR,AGE6O2NLNA,Satyanaray,R27HJ954EM,Working well and fast Charing as claimed. Pice is ,https://m.media-amazon.com/images/W/WEBP_402378-T2,https://www.amazon.in/CEDO-OnePlus-Charging-Compat
B09RFC46VP,Redmi 108 cm (43 inc,Electronics|HomeTheat,"$26,999","$42,999",37%,4.2,"45,238",Resolution : 4K Ultr,AG6WSLLXZY,"prateeq,Su",R3CR9H6ABJ,Worth the price. I use the local cable providers s,https://m.media-amazon.com/images/W/WEBP_402378-T2,https://www.amazon.in/Redmi-inches-Ultra-Android-L
B08R69VDHT,Pinnaclz Original Co,Computers&Accessories,$115,$499,77%,4,"7,732",[SYNC & CHARGE] : Id,AEGZSNGSJJ,Vijayan C ,R2VUNGNI96,"Liked the product.  Accurate to my usb apparatus.,",https://m.media-amazon.com/images/I/41gFqSHngyL._S,https://www.amazon.in/Pinnaclz-Original-Micro-USB-
B09RWZRCP1,boAt Type C A750 Str,Computers&Accessories,$399,$999,60%,4.1,"1,780",The boAt Type C A750,AFJVYK4FXV,livin sebi,RMEKYV7XWT,Yeap this cable support 65w fast charging tested o,https://m.media-amazon.com/images/I/41jlh3c7UbL._S,https://www.amazon.in/boAt-A750-Tangle-free-Transm
B09CMP1SC8,Ambrane 2 in 1 Type-,Computers&Accessories,$199,$499,60%,4.1,602,Stay ahead and never,AHH2TIJJ2I,Gopal kris,R37D7HJR4M,"Product is good , and also it's  strudiness .But n",https://m.media-amazon.com/images/I/31x3IUfMneL._S,https://www.amazon.in/Ambrane-ABDC-10-Charging-Tra
B09YLXYP7Y,Ambrane 60W / 3A Fas,Computers&Accessories,$179,$399,55%,4,"1,423",Fast Charging Cable ,AGU76WKSU6,Actual use,R8QBCR9MM1,"Everything is fine but it is bulky and hard, it sh",https://m.media-amazon.com/images/W/WEBP_402378-T1,https://www.amazon.in/Ambrane-Charging-Neckband-Wi
B09ZPM4C2C,TCL 80 cm (32 inches,Electronics|HomeTheat,"$10,901","$30,990",65%,4.1,398,Resolution: HD Ready,AFRONQAZPY,Nilesh K S,R95AYORS91,"Everything is good. Just one suggestion, when TCL ",https://m.media-amazon.com/images/I/51ow6bmLWIL._S,https://www.amazon.in/TCL-inches-Certified-Android
B0B2DJDCPX,SWAPKART Fast Chargi,Computers&Accessories,$209,$499,58%,3.9,536,[High Compatibility],AEBHZQJ4R2,"Vinay,Amaz",R2LX1M52C4,Packing is good .. they have sent a box for itAlso,https://m.media-amazon.com/images/I/41KmCJuybRL._S,https://www.amazon.in/SWAPKART-Charging-Compatible
B0BCZCQTJX,Firestick Remote,Electronics|HomeTheat,"$1,434","$3,999",64%,4,32,Compatible For Amazo,AEC5PUIW4O,Dharminder,R35LMI5GBW,Works well on my 4K Amazone fire TV stick as well ,https://m.media-amazon.com/images/I/31C4z2M8TiL._S,https://www.amazon.in/Basesailor-2nd-generation-Fi
B07LGT55SJ,Wayona Usb Nylon Bra,Computers&Accessories,$399,"$1,099",64%,4.2,"24,269",[High Compatibility],AG3D6O4STA,"Manav,Adar",R3HXWT0LRP,"Looks durable Charging is fine tooNo complains,Cha",https://m.media-amazon.com/images/W/WEBP_402378-T2,https://www.amazon.in/Wayona-Braided-Syncing-Charg
B09NKZXMWJ,Flix (Beetel) Usb To,Computers&Accessories,$139,$249,44%,4,"9,378",Durable Pvc Outer Ex,AHIKJUDTVJ,$@|\|TO$|-,R3F4T5TRYP,"Worked on iPhone 7 and didn’t work on iPhone XR,",https://m.media-amazon.com/images/W/WEBP_402378-T2,https://www.amazon.in/FLiX-Charging-480Mbps-Device
B08QX1CC14,SKYWALL 81.28 cm (32,Electronics|HomeTheat,"$7,299","$19,125",62%,3.4,902,Resolution: Full HD ,AFZBEV4BOW,Naresh Pat,R3MHRRK05R,Overall experience in this price is good.You can c,https://m.media-amazon.com/images/I/41M9BBMSUdL._S,https://www.amazon.in/Skywall-81-28-inches-Smart-3
B0974H97TJ,boAt A 350 Type C Ca,Computers&Accessories,$299,$799,63%,4.4,"28,791",A 350 Offers Univers,AHDJJLKORM,𝕵𝖆�,R23CC5VDSV,"Good Stuff... Recommended!!!,Need better quality f",https://m.media-amazon.com/images/I/412XfBAEikL._S,https://www.amazon.in/boAt-350-Cable-Carbon-Black/
B07GVGTSLN,Wayona Usb Type C Fa,Computers&Accessories,$325,"$1,299",75%,4.2,"10,576",Fast Charge & Data S,AEXK37TSBF,Sunil Fund,R10365HEDU,"Sturdy packing, good product!,Have used this brand",https://m.media-amazon.com/images/W/WEBP_402378-T1,https://www.amazon.in/Wayona-Cable-Braided-Charger
